               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12367,            0.078296,            0.067559,           0.0048147,             0.11461,            0.013325,           0.0048754,             0.12042,             0.07753,            0.068515,              0.0928,              0.0008,              0.0008
                   1,             0.11303,            0.091943,            0.062855,           0.0046794,             0.15803,           0.0069605,           0.0019685,             0.11182,            0.083618,            0.060156,            0.084683,           0.0016832,           0.0016832
                   2,             0.10462,            0.092256,            0.057854,             0.28629,              0.0625,             0.01648,            0.004299,             0.10186,            0.075783,            0.053056,            0.076549,           0.0025485,           0.0025485
                   3,            0.095864,            0.084297,            0.050803,             0.11349,             0.18864,            0.029115,              0.0124,             0.10143,            0.082855,            0.048474,            0.068396,            0.003396,            0.003396
                   4,               0.092,            0.083543,            0.045505,             0.76112,             0.20753,              0.1802,            0.064359,            0.090652,            0.075348,            0.042881,            0.060226,           0.0042258,           0.0042258
                   5,            0.089373,            0.081097,            0.040416,             0.57395,             0.16408,             0.16685,            0.080436,            0.089197,             0.07766,            0.039331,            0.052038,           0.0050376,           0.0050376
                   6,            0.088757,            0.079069,            0.037912,               0.594,             0.24886,             0.23312,            0.084718,            0.094987,            0.072014,             0.03667,            0.043832,           0.0058317,           0.0058317
                   7,             0.08393,            0.077537,            0.035587,             0.27792,             0.32821,              0.1897,            0.049679,            0.089191,            0.075638,            0.034774,            0.035608,            0.006608,            0.006608
                   8,            0.086435,              0.0718,            0.033695,             0.35498,             0.31736,             0.16319,            0.036175,            0.095528,            0.066467,            0.032655,            0.027366,           0.0073664,           0.0073664
                   9,            0.086247,            0.072874,            0.032936,             0.60798,             0.25455,             0.25334,             0.12023,            0.099932,            0.076614,            0.031534,            0.019107,            0.008107,            0.008107
                  10,            0.091137,            0.066293,            0.031943,             0.65683,             0.18272,             0.17311,            0.091544,            0.094072,            0.059715,            0.030105,             0.01083,           0.0088298,           0.0088298
                  11,            0.087911,            0.068244,            0.030066,             0.77423,             0.25737,             0.24563,             0.12599,            0.086855,            0.058788,            0.028924,            0.008911,            0.008911,            0.008911
                  12,            0.082368,            0.066926,            0.029371,             0.70326,              0.3142,             0.28801,             0.13043,            0.086951,            0.060509,            0.027569,            0.008911,            0.008911,            0.008911
                  13,            0.083729,             0.06824,            0.028217,             0.55242,             0.40577,             0.41911,             0.20325,            0.077875,            0.057037,            0.026675,            0.008812,            0.008812,            0.008812
                  14,            0.075011,             0.06987,            0.027073,             0.54467,             0.53631,             0.30198,             0.12057,            0.077087,            0.058357,            0.025592,            0.008713,            0.008713,            0.008713
                  15,            0.075706,            0.067682,            0.026738,             0.70548,             0.37386,             0.36191,             0.14749,            0.080128,            0.056641,            0.024634,            0.008614,            0.008614,            0.008614
                  16,            0.071129,            0.063274,            0.025697,             0.71544,             0.38466,             0.46873,             0.20811,            0.070084,            0.059387,            0.024365,            0.008515,            0.008515,            0.008515
