epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0991,1.26589,2.25574,2.02371,1.1112,0.71844,0.62087,0.59684,0.43175,0.70017,0.58902,0.5482,0.32466,1.08707,1.5848,1.21653,0.97135,0.0181,0.0091,0.0091
2,119.843,1.07305,1.62682,1.05016,0.97359,0.74299,0.69171,0.70712,0.47812,0.71288,0.64847,0.64668,0.36257,1.13145,1.53147,1.00039,1.00891,0.00985224,0.00985224,0.00985224
3,181.018,0.9862,1.48256,0.73933,0.94655,0.84726,0.7447,0.77771,0.55295,0.80743,0.6997,0.70372,0.41336,0.96387,1.41898,0.70047,0.935,0.00970448,0.00970448,0.00970448
4,240.545,0.94843,1.41038,0.64446,0.92828,0.87442,0.76653,0.80142,0.57735,0.74677,0.68876,0.68293,0.36804,0.93874,1.40671,0.6502,0.91562,0.00955672,0.00955672,0.00955672
5,297.193,0.88237,1.34604,0.59995,0.90951,0.8867,0.78904,0.81686,0.60368,0.73386,0.69585,0.66902,0.37526,0.92209,1.37022,0.60396,0.91004,0.00940896,0.00940896,0.00940896
6,352.954,0.8808,1.33031,0.57251,0.90631,0.88289,0.79912,0.84272,0.60411,0.72082,0.67715,0.6564,0.37385,0.93952,1.35611,0.6018,0.89793,0.00926119,0.00926119,0.00926119
7,408.142,0.86196,1.29767,0.55385,0.89852,0.85688,0.80642,0.83176,0.6182,0.78828,0.75444,0.76404,0.45581,0.81188,1.26848,0.55161,0.87779,0.00911343,0.00911343,0.00911343
8,464.676,0.83722,1.2803,0.54033,0.89459,0.87737,0.81953,0.85347,0.63104,0.73739,0.71612,0.69236,0.41344,0.82866,1.28703,0.54647,0.88367,0.00896567,0.00896567,0.00896567
9,518.869,0.83119,1.27406,0.52011,0.88998,0.88878,0.8148,0.85013,0.63025,0.71052,0.69357,0.66439,0.37837,0.83414,1.30053,0.53247,0.87606,0.00881791,0.00881791,0.00881791
10,573.185,0.81259,1.25237,0.50709,0.88578,0.87923,0.8228,0.84628,0.63454,0.80404,0.75486,0.77042,0.46284,0.81086,1.20743,0.52693,0.87321,0.00867015,0.00867015,0.00867015
11,630.561,0.80139,1.23427,0.4981,0.88253,0.86461,0.8244,0.85248,0.65064,0.75105,0.74466,0.73076,0.43128,0.7622,1.21284,0.49893,0.87555,0.00852239,0.00852239,0.00852239
12,687.606,0.79104,1.22096,0.49358,0.87874,0.9014,0.81923,0.85591,0.64728,0.77217,0.72842,0.71787,0.42037,0.78852,1.18689,0.49638,0.86385,0.00837463,0.00837463,0.00837463
13,741.678,0.78125,1.22595,0.4829,0.87694,0.88919,0.82524,0.85283,0.64886,0.73553,0.7033,0.68428,0.40172,0.80084,1.22058,0.50832,0.87583,0.00822687,0.00822687,0.00822687
14,796.831,0.77029,1.2016,0.47454,0.87467,0.87974,0.84066,0.86347,0.6527,0.77041,0.76708,0.75775,0.45161,0.7673,1.19273,0.50263,0.86618,0.0080791,0.0080791,0.0080791
15,853.407,0.76387,1.20184,0.46993,0.87367,0.91742,0.83203,0.86851,0.66024,0.79433,0.76063,0.76374,0.45567,0.76505,1.21203,0.4805,0.8628,0.00793134,0.00793134,0.00793134
16,910.657,0.757,1.19196,0.45915,0.87166,0.90358,0.85047,0.87572,0.65997,0.77672,0.74742,0.74709,0.45273,0.76499,1.183,0.47952,0.86931,0.00778358,0.00778358,0.00778358
17,966.864,0.74928,1.18412,0.45825,0.86833,0.88287,0.8554,0.87269,0.65793,0.74314,0.72537,0.69821,0.40397,0.76267,1.24308,0.48125,0.86489,0.00763582,0.00763582,0.00763582
18,1023.01,0.74919,1.1669,0.45722,0.86821,0.89527,0.84575,0.87488,0.66209,0.79168,0.77549,0.77204,0.45761,0.75646,1.24306,0.47571,0.87063,0.00748806,0.00748806,0.00748806
19,1080.52,0.74377,1.15842,0.44662,0.86504,0.89351,0.8606,0.87114,0.67477,0.76071,0.75631,0.73411,0.44133,0.72073,1.21726,0.46675,0.86487,0.0073403,0.0073403,0.0073403
20,1137.08,0.7399,1.15327,0.44372,0.86454,0.90334,0.85099,0.87097,0.67029,0.78596,0.76612,0.75875,0.43997,0.73871,1.22762,0.45358,0.85592,0.00719254,0.00719254,0.00719254
21,1194.82,0.72545,1.14785,0.4375,0.86239,0.90652,0.85916,0.88169,0.6772,0.78574,0.75656,0.75067,0.45439,0.72699,1.20175,0.46495,0.85957,0.00704478,0.00704478,0.00704478
22,1253.54,0.71784,1.13055,0.43032,0.8593,0.90957,0.85122,0.8836,0.6794,0.7708,0.75366,0.74541,0.44659,0.7166,1.21678,0.45607,0.8574,0.00689701,0.00689701,0.00689701
