epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6546,0.65663,1.44108,1.49022,0.87796,0.87001,0.71291,0.76915,0.57217,0.8366,0.68692,0.72057,0.40565,0.71192,1.36896,0.93813,0.87321,0.0503969,4.96528e-05,4.96528e-05
2,177.788,0.63027,1.1427,0.76867,0.86667,0.94932,0.78902,0.83263,0.64647,0.91136,0.75789,0.77643,0.48916,0.67173,1.21043,0.63669,0.86311,0.000443554,9.63314e-05,9.63314e-05
3,266.091,0.59749,1.04309,0.55486,0.85764,0.96909,0.79911,0.88261,0.68174,0.93277,0.76792,0.81167,0.51681,0.6712,1.15414,0.51382,0.85671,9.3334e-05,9.3334e-05,9.3334e-05
4,354.951,0.59466,1.01637,0.46914,0.85502,0.92972,0.85727,0.90913,0.69503,0.9261,0.77076,0.82632,0.5298,0.66338,1.12789,0.45262,0.85299,9.0001e-05,9.0001e-05,9.0001e-05
5,441.809,0.58699,0.99541,0.43042,0.85499,0.931,0.86513,0.9095,0.69722,0.93016,0.77643,0.83436,0.54017,0.65687,1.11182,0.42288,0.85144,8.6668e-05,8.6668e-05,8.6668e-05
6,530.264,0.58794,0.99197,0.40968,0.84988,0.92549,0.87323,0.9108,0.6981,0.93333,0.77521,0.8352,0.54761,0.65156,1.1002,0.40846,0.84989,8.3335e-05,8.3335e-05,8.3335e-05
7,618.103,0.59064,1.00145,0.4025,0.85528,0.9253,0.87282,0.91378,0.69949,0.93414,0.77805,0.83489,0.54748,0.64828,1.09474,0.40046,0.84763,8.0002e-05,8.0002e-05,8.0002e-05
8,705.068,0.58261,0.97644,0.39283,0.85175,0.93112,0.86634,0.91195,0.69987,0.93565,0.77764,0.83601,0.54937,0.6472,1.08559,0.39235,0.84715,7.6669e-05,7.6669e-05,7.6669e-05
9,791.713,0.57967,0.97284,0.38378,0.85041,0.93466,0.86898,0.91311,0.70098,0.93876,0.78007,0.84013,0.55339,0.64419,1.0839,0.387,0.84552,7.3336e-05,7.3336e-05,7.3336e-05
10,880.009,0.58415,0.98092,0.38264,0.849,0.93293,0.87161,0.91346,0.70373,0.93578,0.78088,0.83986,0.55299,0.6431,1.07803,0.38414,0.84531,7.0003e-05,7.0003e-05,7.0003e-05
11,966.575,0.57607,0.96825,0.37955,0.8518,0.93736,0.87272,0.91393,0.70414,0.9371,0.7821,0.84195,0.5536,0.64319,1.07529,0.3784,0.84508,6.667e-05,6.667e-05,6.667e-05
12,1053.59,0.5742,0.95924,0.37457,0.85156,0.93541,0.87393,0.9153,0.70482,0.93611,0.77741,0.8367,0.55055,0.6425,1.07459,0.37719,0.84437,6.3337e-05,6.3337e-05,6.3337e-05
13,1139.31,0.57545,0.96117,0.3695,0.8493,0.93613,0.87242,0.91441,0.70498,0.94063,0.7765,0.83792,0.55262,0.64153,1.06964,0.37433,0.84401,6.0004e-05,6.0004e-05,6.0004e-05
14,1224.91,0.56699,0.94183,0.36735,0.84901,0.93886,0.87069,0.91513,0.70594,0.93886,0.77805,0.84007,0.55525,0.64008,1.06891,0.37189,0.84323,5.6671e-05,5.6671e-05,5.6671e-05
15,1311.86,0.57843,0.96131,0.36904,0.85009,0.9381,0.87157,0.91599,0.70773,0.94047,0.78129,0.84105,0.55819,0.63865,1.06714,0.36988,0.84309,5.3338e-05,5.3338e-05,5.3338e-05
16,1398.85,0.57146,0.9585,0.36642,0.848,0.93839,0.87323,0.9163,0.70688,0.93621,0.78007,0.83856,0.55684,0.63909,1.06763,0.3699,0.84297,5.0005e-05,5.0005e-05,5.0005e-05
17,1485.5,0.57715,0.95291,0.36422,0.84808,0.93893,0.87175,0.91555,0.70665,0.9333,0.77926,0.83699,0.55629,0.64053,1.06789,0.3683,0.84343,4.6672e-05,4.6672e-05,4.6672e-05
18,1571.11,0.57992,0.96864,0.36562,0.85001,0.93983,0.873,0.91769,0.70784,0.9386,0.7825,0.84486,0.56332,0.63845,1.06907,0.36676,0.8429,4.3339e-05,4.3339e-05,4.3339e-05
19,1659.54,0.57113,0.94481,0.35927,0.84608,0.93721,0.87444,0.91701,0.7084,0.93717,0.77929,0.83894,0.55967,0.63988,1.06782,0.36793,0.84308,4.0006e-05,4.0006e-05,4.0006e-05
20,1744.6,0.57053,0.95151,0.3572,0.84686,0.93747,0.87445,0.91598,0.71042,0.9401,0.78188,0.84231,0.56211,0.63843,1.06218,0.36634,0.84302,3.6673e-05,3.6673e-05,3.6673e-05
